die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,\\prober\M\ETL\proberautomation\MADDYATA,Accretech,MADDY_TL_REV_D,Maddy TL,MADC-V-069,06F5,314,314,314,0,,,,,,,,,,,,,
R1C7  (X7 Y1),current,0.00999982,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:35,Force Current,apply,A,01G,,,0.1554377,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),resistance,15.5439,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:35,Kelvin Resistance,measure,ohm,01G,,,,4A11_2B02,SMU,1,7,
R1C7  (X7 Y1),voltage,-1.45852e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:35,Kelvin Voltage (DMM),measure,V,01G,,,,2F01_4E12,DMM,1,7,
R1C8  (X8 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:37,Force Current,apply,A,01H,,,0.1554371,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),resistance,15.5443,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:37,Kelvin Resistance,measure,ohm,01H,,,,4A11_2B02,SMU,1,8,
R1C8  (X8 Y1),voltage,-1.39859e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:37,Kelvin Voltage (DMM),measure,V,01H,,,,2F01_4E12,DMM,1,8,
R1C9  (X9 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:39,Force Current,apply,A,01I,,,0.158922,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),resistance,15.8918,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:39,Kelvin Resistance,measure,ohm,01I,,,,4A11_2B02,SMU,1,9,
R1C9  (X9 Y1),voltage,-1.56295e-05,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:39,Kelvin Voltage (DMM),measure,V,01I,,,,2F01_4E12,DMM,1,9,
R1C10  (X10 Y1),current,0.00999983,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:42,Force Current,apply,A,01J,,,0.1587977,4A11_2B02,SMU,1,10,
R1C10  (X10 Y1),resistance,15.8797,RESULT,,,,MADDY_TL_REV_D,Maddy TL,,,,,,,2026-09-01 17:50:42,Kelvin Resistance,measure,ohm,01J,,,,4A11_2B02,SMU,1,10,
