die,type,value,kind,system,ata_folder,map_source,probe_card,recipe,lot_id,wafer_id,total_dies,dies_tested,dies_passed,dies_failed,timestamp,step,mode,unit,die_id,switch,set_voltage,voltage,connection,instrument,row,col,status
,,,META,accretech,//prober/M/ETL/proberautomation\LAMPATA,Accretech,LaMP_HP_b,lampaccr_probe08new,LAMP,GAUGE,633,633,568,65,,,,,,,,,,,,,
NA,current,2.06543e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:03,first,measure,A,NA,1,10.0,9.9987,4A05_4B06,SMU,-40,-6,
92-74,current,1.57969e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:03,second,measure,A,92-74,2,10.0,9.998828,4A07_4B08,SMU,-39,-6,
NA,current,1.76569e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:03,third,measure,A,NA,3,10.0,9.998806,2A08_2B07,SMU,-40,-5,
93-70,current,1.3658e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:03,fourth,measure,A,93-70,4,10.0,9.998774,2A06_2B05,SMU,-39,-5,
A3-01,current,1.62829e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:18,first,measure,A,A3-01,1,10.0,9.998523,4A05_4B06,SMU,-40,-4,
93-71,current,9.35392e-11,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:18,second,measure,A,93-71,2,10.0,9.998576,4A07_4B08,SMU,-39,-4,
A3-02,current,1.25139e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:18,third,measure,A,A3-02,3,10.0,9.998686,2A08_2B07,SMU,-40,-3,
93-72,current,1.12652e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:18,fourth,measure,A,93-72,4,10.0,9.998802,2A06_2B05,SMU,-39,-3,
A3-03,current,2.03674e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:33,first,measure,A,A3-03,1,10.0,9.998814,4A05_4B06,SMU,-40,-2,
93-73,current,9.13323e-11,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:33,second,measure,A,93-73,2,10.0,9.998676,4A07_4B08,SMU,-39,-2,
A3-04,current,1.15709e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:33,third,measure,A,A3-04,3,10.0,9.99865,2A08_2B07,SMU,-40,-1,
93-74,current,9.55023e-11,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:33,fourth,measure,A,93-74,4,10.0,9.998753,2A06_2B05,SMU,-39,-1,
A4-00,current,1.35833e-10,RESULT,,,,LaMP_HP_b,lampaccr_probe08new,,,,,,,2026-08-27 15:27:48,first,measure,A,A4-00,1,10.0,9.998674,4A05_4B06,SMU,-40,0,
